Marks,Rank,category,rank
187,11684,gen,11684
100,74401,obc,19875
57,218560,,
99,75000,,
305,264,,
282,742,,
85,104780,,
360,1,,
350,2,,
321,71,,
345,4,,
196,9489,,
147,27400,,
226,4435,,
82,111151,,
278,851,,
214,6124,,
261,1586,,
272,1081,,
253,2075,,
330,32,,
325,62,,
320,93,,
316,113,,
313,149,,
310,184,,
303,291,,
303,291,,
186,11819,,
196,9520,,
124,44900,,
4,951077,,
345,6,,
325,53,,
321,71,,
314,149,,
305,264,,
310,193,,
298,377,,
295,496,,
282,742,,
272,1081,,
269,1230,,
265,1409,,
246,2560,,
239,3054,,
238,3164,,
227,4200,,
208,7000,,
205,7617,,
202,8225,,
200,8622,,
196,9489,,
178,14000,,
182,13000,,
172,16066,,
167,18072,,
165,20500,,
155,23386,,
148,26940,,
145,28993,,
141,31412,,
100,74500,,
99,75000,,
98,77000,,
95,80000,,
70,150000,,
113,56201,,
130,39000,,
135,35982,,
187,11684,,
95,81000,,
70,120000,,
63,189573,,
43,356000,,
28,590000,,
80,117973,,
75,133911,,
70,152645,,
60,205441,,
55,205441,,
50,240229,,
45,336868,,
40,399620,,
35,475323,,
25,650275,,
20,745908,,
15,838932,,
10,923939,,
5,995206,,
0,1047322,,
141,31093,,